Sample_ID;Tissue;Shannon
1;Cementum;0.244
2;Cementum;0.536
3;Dentin;0.469
4;Dentin;0.837
5;Cementum;0.071
6;Cementum;0.072
7;Cementum;0.074
8;Dentin;0.210
9;Dentin;0.224
10;Dentin;0.226
11;Cementum;0.227
12;Cementum;0.009
13;Cementum;0.009
14;Cementum;0.008
15;Dentin;0.009
16;Dentin;0.118
17;Dentin;0.106
18;Cementum;0.003
19;Cementum;0.006
20;Cementum;0.006
21;Cementum;0.006
22;Dentin;0.054
23;Dentin;0.084
24;Dentin;0.085
25;Cementum;0.059
26;Cementum;0.066
27;Skull;0.174
28;Cementum;0.383
29;Cementum;0.010
30;Cementum;0.784
31;Cementum;0.114
32;Skull;0.326
33;Long bone;0.739
